page,productranking,price,name,rating,numofratings,prime,bestseller,amazonchoice
6,79,$29.99,"Bluetooth Headphones, Doltech Neckband Wireless Bluetooth 5.0 Headset with Retractable Earbuds, Hi-Fi Stereo Sound Noise Cancelling Earphones with Mic, Sweatproof Call Vibrate Alert (Rose Gold)",4.5 out of 5 stars,17,1,0,0
6,80,$13.58,"AILIHEN MS300 Wired Headphones, Stereo Foldable Headset for iOS Android Smartphone Laptop Tablet PC Computer (Rose Gold)",4.2 out of 5 stars,989,1,0,0
6,81,$18.89,"Bluetooth Headphones, Anbes Wireless Earbuds, IPX7 Waterproof Sports Earphones with Ear Hooks & Mic, HD Stereo in-Ear Headphones Gym Running Workout, 8 Hours Battery Noise Canceling Headsets",4.3 out of 5 stars,"1,880",1,0,0
6,82,$8.99,Headphone Adapter [2 Pack] 3.5mm Phone Adapter aux Cable Jack Headsets Converter Compatible iPhone XS/XR/X/8/8 Plus/7/7 Plus/ipad/iPod Audio Charger Adapter Accessory Support iOS 10.3 or Later,5.0 out of 5 stars,2,1,0,0
6,83,$19.99,"Bluetooth Headphones, LETSCOM Wireless Earbuds IPX7 Waterproof Noise Cancelling Headsets, Richer Bass & HiFi Stereo Sports Earphones 8 Hours Playtime Running Headphones with Travel Case",4.3 out of 5 stars,"3,102",1,0,0
6,84,$12.96,"Earbuds/Earphones/Headphones, Premium in-Ear Wired Earphones with Remote & Mic Compatible Apple iPhone 6s/plus/6/5s/se/5c/iPad/Samsung/MP3(White 2Pack)",3.4 out of 5 stars,8,1,0,0
6,85,$149.99,"Skullcandy Venue Active Noise Cancelling Headphones, Over The Ear Bluetooth Wireless, Tile Integration, Rapid Charge 24-Hour Battery Life, Lightweight Premium Materials, Deep Red",4.1 out of 5 stars,137,0,0,0
6,86,$39.99,"Bluetooth Headphones, VEATOOL 5.0 Binaural Call True Wireless Earbuds 20H Playtime HD Stereo Bass Sound Mini in Ear Bluetooth Earphones with Built in Mic and Charging Case for Sports Running",4.3 out of 5 stars,"1,635",1,0,0
6,87,$38.39,"Bluetooth Earbuds, LED Display Bluetooth 5.0 Headphone 3D Stereo Sound, Wireless Earbuds Dual Built-in Mic Auto Pairing Cordless Earbuds, with 1000mAh Charging Case, for most bluetooth devices (Black)",4.9 out of 5 stars,275,1,0,0
6,88,$128.98,"Wholesale Bulk Low Cost Earphone Earbuds Headphones - Kaysent(KHP-50) 50 Pack Wholesale Headphone for School,Airplane,Hospital,Students,Kids and Adults",4.4 out of 5 stars,135,1,0,0
6,89,$26.99,"Wireless Over-Ear Headset with Deep Bass, Bluetooth and Wired Stereo Headphones Buit in Mic for Cell Phone, TV, PC,Soft Earmuffs &Light Weight for Prolonged Wearing by Zihnic (Black/Blue)",4.2 out of 5 stars,591,1,0,0
6,90,$128.25,"Sennheiser HD 4.50 Bluetooth Wireless Headphones with Active Noise Cancellation, Black and Silver(HD 4.50 BTNC)",3.8 out of 5 stars,852,1,0,0
6,91,$52.99,"Active Noise Cancelling Headphones Bluetooth Headphones Wireless Headphones BesDio Over Ear Headphones with Quick Charge, Bluetooth 5.0, Mic, Deep Bass, 30H Playtime for Travel Work Cellphone",4.8 out of 5 stars,104,1,0,0
7,92,$9.99,"Aux Headphones/Earphones/Earbuds, (2 Pack) 3.5mm Aux Wired in-Ear Headphones with Mic and Remote Control Compatible with Galaxy S9 S8 S7 S6 S5 Edge + Note 5 6 7 8 9 and More Android Devices-White",5.0 out of 5 stars,14,1,0,0
7,93,$149.00,"Audio-Technica ATH-M50x Professional Studio Monitor Headphones, Black",4.5 out of 5 stars,"5,586",1,0,0
7,94,$177.24,Bose QuietComfort 25 Acoustic Noise Cancelling Headphones for Apple devices - Black (Wired 3.5mm),4.1 out of 5 stars,"4,516",1,0,0
7,95,$159.99,"Audio-Technica ATH-M50xBT Wireless Bluetooth Over-Ear Headphones, Black",4.2 out of 5 stars,250,1,0,0
7,96,$34.99,"Sumvov Wireless Headphones Over Ear, Bluetooth Headphones 5.0 with Mic, Quick Charge, 30 Hours Playtime, Deep Bass, Protein Earpads, Hi-Fi Stereo Foldable Headset, for Cellphone/TV/PC (Rose Gold)",4.8 out of 5 stars,42,1,0,0
7,97,$32.99,"SoundPEATS True Wireless Earbuds 5.0 Bluetooth Headphones in-Ear Stereo Wireless Earphones with Microphone Binaural Calls, One-Step Pairing, Total 35 Hours, Upgraded TrueFree Plus",4.3 out of 5 stars,"3,189",1,0,0
7,98,$39.99,"Wireless Earbuds Bluetooth 5.0 Headphones with 160H Playtime Touch Control, Premium Stereo Sound in-Ear Bluetooth Headphones with Flashlight, LED Battery Display Charging Case",4.9 out of 5 stars,51,1,0,0
7,99,$21.98,"Letscom Wireless Headphones, Bluetooth 5.0 Earbuds IPX7 Waterproof Workout Earphones HD Stereo Sound Bass Headsets Noise Cancellation 15Hrs Playtime with Portable Case",4.5 out of 5 stars,328,1,0,0
7,100,$31.98,"Riwbox Bluetooth Headphones, Riwbox CT-7 Cat Ear LED Light Up Wireless Foldable Headphones Over Ear with Microphone and Volume Control for iPhone/iPad/Smartphones/Laptop/PC/TV (Pink&Green)",4.6 out of 5 stars,539,1,0,0
7,101,$8.96,"Noise Cancelling Headphones,ONPIE in-Ear Headphones Earbuds High Resolution Heavy Bass with Microphone for Smartphone Android Cell Phones",1.0 out of 5 stars,2,1,0,0
7,102,$29.99,TaoTronics Bluetooth Headphones Bluetooth 5.0 Sports Earphones Magnetic Earbuds aptX HD Audio 14 Hours Playtime Wireless Headphones 3 Eq Setting CVC 8.0 Noise cancellation Bulit-In Mic IPX6 Waterproof,4.3 out of 5 stars,637,1,1,0
7,103,$12.99,"RockPapa Over Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Red)",4.1 out of 5 stars,335,1,0,0
7,105,$26.99,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black/Red)",4.4 out of 5 stars,706,1,0,0
7,106,$36.99,"Bluetooth Headphones,Seacase 5.0 True Wireless Earbuds Deep Bass Stereo Sound Bluetooth Earphones Mini in-Ear Binaural Call Headsets with Built-in Mic and Charging Case for iPhone and Android Phones",4.9 out of 5 stars,134,1,0,0
7,107,$29.79,"AMORNO Foldable Bluetooth Headphones Wireless Neckband Headset with Retractable Earbuds, Sports Sweatproof Noise Cancelling Stereo Earphones with Mic (Black)",4.5 out of 5 stars,262,1,0,0
8,108,$26.99,"PowerLocus Bluetooth Over-Ear Headphones, Wireless Stereo Foldable Headphones Wireless and Wired Headsets with Built-in Mic, Micro SD/TF, FM for iPhone/Samsung/iPad/PC (Black/Red)",4.4 out of 5 stars,706,1,0,0
8,109,$36.99,"Bluetooth Headphones,Seacase 5.0 True Wireless Earbuds Deep Bass Stereo Sound Bluetooth Earphones Mini in-Ear Binaural Call Headsets with Built-in Mic and Charging Case for iPhone and Android Phones",4.9 out of 5 stars,134,1,0,0
8,110,$29.79,"AMORNO Foldable Bluetooth Headphones Wireless Neckband Headset with Retractable Earbuds, Sports Sweatproof Noise Cancelling Stereo Earphones with Mic (Black)",4.5 out of 5 stars,262,1,0,0
8,111,$13.88,"iSuperfine Earbuds Headphones Headset in-Ear Earphones with Microphone and Remote Control, Compatible with iPhone Xs/XS Max/XR/X/8/8 Plus/7/7 Plus Earphones",4.8 out of 5 stars,525,1,0,0
8,112,$146.60,Beats Solo3 Wireless On-Ear Headphones - Rose Gold (Renewed),4.4 out of 5 stars,264,1,0,0
8,113,$6.99,"JVC HAF160V Gumy Ear Bud Headphone, Violet",3.9 out of 5 stars,"1,299",1,0,0
8,114,$149.95,"AfterShokz Xtrainerz Open Ear MP3 Bone Conduction Headphones, Black Diamond",4.2 out of 5 stars,14,1,0,0
8,115,$314.95,"Bose QuietComfort 35 (Series II) Wireless Headphones, Noise Cancelling, Alexa Voice Control - Black + 1 Year Extended Warranty",4.3 out of 5 stars,25,1,0,0
8,116,$109.99,"COWIN SE7 Active Noise Cancelling Headphones Bluetooth Headphones Wireless Headphones Over Ear with Microphone/Aptx, Comfortable Protein Earpads, 50 Hours Playtime for Travel/Work, Black",4.3 out of 5 stars,"1,556",1,0,0
8,117,$79.95,Sennheiser RS120 On-Ear Wireless RF Headphones with Charging Cradle,4.0 out of 5 stars,"15,322",1,0,0
8,118,$29.99,"Bluetooth Headphones, Doltech Bluetooth 5.0 Neckband Headphones Noise Cancelling Headset with Carrying Bag Retractable Earbuds Stereo Earphones with Mic (Black)",4.7 out of 5 stars,60,1,0,0
8,119,$12.99,"noot products NP11 Bluetooth Headphones IPX7 Waterproof Sports Wireless Earphones with CVC6.0 Noise Cancelling Mic,Volume/Remote Control Bluetooth 4.1 Earbuds 8 Hours Play Time for Running Workout",4.3 out of 5 stars,152,1,0,0
8,120,$46.74,TaoTronics Active Noise Cancelling Headphones [Upgraded] 45H Playtime Bluetooth Headphones Over Ear Headphones Wireless Headphones High Clarity Sound for TV Cellphone,4.3 out of 5 stars,"1,952",1,0,0
8,121,$9.99,"The Beatles Through Headphones: The Quirks, Peccadilloes, Nuances and Sonic Delights of the Greatest Popular Music Ever Recorded",3.2 out of 5 stars,37,1,0,0
8,122,$29.99,"Wireless Earbuds, HSPRO Bluetooth 5.0 Headphones True Wireless Earbuds in-Ear Bluetooth Earbuds with Mic, One Step Paring, Single/Twin Mode, 24Hrs Playtime for Work/Travel/Gym",5.0 out of 5 stars,20,1,0,0
8,123,$50.14,"Active Noise Canceling Headphones, RCA Bluetooth 5.0 Headphones Over Ear Wireless Headphones with Mic, Foldable Soft Protein Earpads, 25Hrs Playtime for Travel Work TV PC Cellphoneï_ˆBlackï_‰",4.7 out of 5 stars,283,0,0,0
9,124,$16.99,"Headphones with Microphone Wired On Ear Stereo Bass Headphone for Computer, Tablet Ipad Cell Phones MP3 School, Comfortable Lightweight Folding Adjustable fit Tangle Free 1.5m Cord with 3.5mm Jack",4.5 out of 5 stars,371,1,0,0
9,125,$15.98,AILIHEN C8 (Upgraded) Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Rose),4.2 out of 5 stars,480,1,0,0
9,126,$49.99,"Wireless Earbuds, Bluetooth Headphones True Wireless in Ear Sports Earphones with Microphone, Mini Stereo Running Headset with Earhooks Charging Case for iPhone 11 Pro Max XS Samsung Android & More",4.6 out of 5 stars,71,1,0,0
9,127,$198.94,Beats Studio3 Wireless Headphones - Matte Black (Renewed),4.2 out of 5 stars,199,1,0,0
