category,price,name,rating,numofratings
Over-Ear Headphones,$69.99,"Active Noise Cancelling Headphones,Utaxo Bluetooth Headphones Over Ear with Mic Hi-Fi Sound Deep Bass Foldable Wireless Headset,Quick Charge 30H Playtime for Cellphone PC TV Travel",4.5 out of 5 stars,559
Over-Ear Headphones,$16.99,iJoy Matte Finish Premium Rechargeable Wireless Headphones Bluetooth Over Ear Headphones Foldable Headset with Mic (Stealth),4.0 out of 5 stars,"6,414"
Over-Ear Headphones,$177.50,"Bose QuietComfort 25 Acoustic Noise Cancelling Headphones for Apple devices - Black (wired, 3.5mm)",4.1 out of 5 stars,"4,305"
Over-Ear Headphones,$69.99,"TaoTronics Active Noise Cancelling Headphones [2019 Upgrade] Bluetooth Headphones SoundSurge 60 Over Ear Headphones  Sound Deep Bass, Quick Charge, 30 Hours Playtime for Travel Work TV PC Cellphone",4.3 out of 5 stars,"1,386"
Over-Ear Headphones,$0.00,Sony MDR7506 Professional Large Diaphragm Headphone,4.6 out of 5 stars,"5,120"
Over-Ear Headphones,$159.00,"Bose SoundLink around-ear wireless headphones II, Black",4.3 out of 5 stars,"2,061"
Over-Ear Headphones,$89.99,Sony WH-CH700N Wireless Bluetooth Noise Canceling Over the Ear Headphones with Alexa Voice Control – Black,4.0 out of 5 stars,571
Over-Ear Headphones,$0.00,Sony MDRZX110NC Noise Cancelling Headphones,3.8 out of 5 stars,"1,833"
Over-Ear Headphones,$23.99,"Mpow H7 Bluetooth Headphones Over Ear, 18 Hrs Comfortable Wireless Headphones w/Bag, Rechargeable HiFi Stereo Headset, CVC6.0 Headphones with Microphone for Cellphone Tablet(Black)",4.4 out of 5 stars,"1,238"
Over-Ear Headphones,$25.99,"Bluetooth Headphones Wireless,MKay Over Ear Headset V5.0 with Microphone, Foldable & Lightweight, Support Tf Card MP3 Mode and Fm Radio for Cellphones Laptop TV-Rose Gold",4.5 out of 5 stars,879
Over-Ear Headphones,$298.00,Sony Noise Cancelling Headphones WH1000XM3: Wireless Bluetooth Over the Ear Headphones with Mic and Alexa voice control - Industry Leading Active Noise Cancellation - Black,4.3 out of 5 stars,"1,508"
Over-Ear Headphones,$12.99,JVC Black Flat and Foldable Colorful Flats On Ear Headphone with 3.94 foot Gold Plated Phone Slim Plug HAS160B,4.3 out of 5 stars,"2,525"
Over-Ear Headphones,$11.99,"RockPapa On Ear Stereo Headphones Earphones for Adults Kids Childs Teens, Adjustable, Heavy Deep Bass for iPhone iPod iPad MacBook Surface MP3 DVD Smartphones Laptop (Black/Green)",4.1 out of 5 stars,629
Over-Ear Headphones,$13.99,"AUSDOM Over-Ear Headphones, Stereo Lightweight Adjustable Wired Headset with Mic, Noise Isolating Comfortable Leather Earphones, Hi-Fi Deep Bass for iPhone iPod iPad Macbook MP3 Cellphones Laptop-Blue",3.9 out of 5 stars,"2,196"
Over-Ear Headphones,$27.87,"FX-Viktaria Over Ear Headphones, Headset with Microphone, Foldable and Lightweight, Support TF Card, USB Charging Headset, MP3 Mode and FM Radio for Cellphones, Laptop-Carbon Black",4.9 out of 5 stars,221
On-Ear Headphones,$14.99,"On Ear Headphones with Mic, Vogek Lightweight Portable Fold-Flat Stereo Bass Headphones with 1.5M Tangle Free Cord and Microphone-Black",4.3 out of 5 stars,416
On-Ear Headphones,$11.98,AILIHEN C8 Headphones with Microphone and Volume Control Folding Lightweight Headset for Cellphones Tablets Smartphones Laptop Computer PC Mp3/4 (Grey/Mint),4.0 out of 5 stars,"4,595"
